sample_id,dx_norm_mean,dx_norm_std,dy_norm_mean,dy_norm_std,fraction_dx_abs_001,fraction_dx_abs_002,fraction_dx_abs_005,fraction_dy_abs_001,fraction_dy_abs_002,fraction_dy_abs_005,abs_dx_diag_mae,abs_dy_diag_mae,sign_lost,status
sample_000024,-0.15278743745717746,0.1960448246916853,0.08459655215568362,0.16608133783796006,0.4107142857142857,0.42410714285714285,0.5,0.11607142857142858,0.5848214285714286,0.7276785714285714,1.6715763278639117e-09,9.534354977671475e-10,True,sign_lost_not_trajectory_reconstructable
sample_000025,0.12180927813648645,0.2249281397656266,0.0897172162776618,0.1766786367713743,0.3705357142857143,0.40625,0.49107142857142855,0.008928571428571428,0.36607142857142855,0.5401785714285714,1.6253456186340722e-09,1.3134092926755555e-09,True,sign_lost_not_trajectory_reconstructable
sample_000026,0.14235109099591306,0.24652738889270834,-0.06776536720689301,0.26834348984095474,0.24553571428571427,0.2767857142857143,0.42410714285714285,0.026785714285714284,0.23660714285714285,0.33035714285714285,2.001257576532437e-09,2.3902542940056287e-09,True,sign_lost_not_trajectory_reconstructable
sample_000027,0.1857923993605611,0.3105422611557104,-0.0024573451807368696,0.17031209090871333,0.09375,0.10714285714285714,0.17857142857142858,0.03125,0.12946428571428573,0.26339285714285715,3.2684256938580337e-09,1.3199751657000635e-09,True,sign_lost_not_trajectory_reconstructable
sample_000028,0.24550392384828099,0.24277485645876123,0.029657614250254156,0.1561142598387377,0.16964285714285715,0.19642857142857142,0.29017857142857145,0.008928571428571428,0.17857142857142858,0.42410714285714285,2.7999801650520705e-09,1.0640238668638987e-09,True,sign_lost_not_trajectory_reconstructable
sample_000029,0.015208804783360785,0.16031021560086442,-0.15928289844190138,0.28696475400022586,0.3794642857142857,0.4330357142857143,0.6651785714285714,0.0625,0.41964285714285715,0.44642857142857145,9.721470924622394e-10,2.41759739576273e-09,True,sign_lost_not_trajectory_reconstructable
sample_000030,0.048797672680468814,0.2303222394042532,-0.049616210917132184,0.25391751642911004,0.39285714285714285,0.42857142857142855,0.5714285714285714,0.049107142857142856,0.40625,0.5267857142857143,1.4637461588072553e-09,1.5893825995297308e-09,True,sign_lost_not_trajectory_reconstructable
sample_000031,0.1270086366184347,0.2880345757078015,-0.1283464217925469,0.2313388984774042,0.16964285714285715,0.1875,0.3169642857142857,0.04017857142857143,0.23660714285714285,0.3125,2.2368272574228413e-09,1.956370899673812e-09,True,sign_lost_not_trajectory_reconstructable
sample_000032,0.13869713704403727,0.26466710463839876,0.07095535323196167,0.15883535377260732,0.24107142857142858,0.32589285714285715,0.41964285714285715,0.05803571428571429,0.26785714285714285,0.4330357142857143,2.2409250416550046e-09,1.2768899717115213e-09,True,sign_lost_not_trajectory_reconstructable
sample_000033,-0.17680803247036075,0.219562028344279,0.1331398744342228,0.22720245143933115,0.28125,0.3169642857142857,0.375,0.13392857142857142,0.45982142857142855,0.5446428571428571,2.201201154484349e-09,1.8318621737475766e-09,True,sign_lost_not_trajectory_reconstructable
sample_000034,-0.023016276703964566,0.14360242702323617,-0.20192077049830176,0.18570074666073563,0.19642857142857142,0.2857142857142857,0.6160714285714286,0.125,0.25,0.33035714285714285,8.826352825813979e-10,2.2842876567404622e-09,True,sign_lost_not_trajectory_reconstructable
sample_000035,-0.12360770859716953,0.28733454306479633,-0.11749108316125557,0.21057957075010042,0.33035714285714285,0.35267857142857145,0.4375,0.049107142857142856,0.42410714285714285,0.5357142857142857,1.997363680845454e-09,1.488169516221584e-09,True,sign_lost_not_trajectory_reconstructable
sample_000036,-0.018717431021235752,0.21332295686636027,-0.13765304632584688,0.24188209500949115,0.48214285714285715,0.5267857142857143,0.6607142857142857,0.049107142857142856,0.4732142857142857,0.5491071428571429,1.3113791902105117e-09,1.6233017751562287e-09,True,sign_lost_not_trajectory_reconstructable
sample_000037,0.1845104013121047,0.31115440385587245,0.11252424754395722,0.1305121463457203,0.24553571428571427,0.25892857142857145,0.29464285714285715,0.004464285714285714,0.2544642857142857,0.375,2.9854489436410626e-09,1.1963711834434778e-09,True,sign_lost_not_trajectory_reconstructable
sample_000038,-0.26685801482342414,0.2065982516585734,0.018837473666644445,0.15822293047553335,0.16071428571428573,0.16964285714285715,0.19196428571428573,0.22321428571428573,0.48660714285714285,0.6473214285714286,3.1633129695836284e-09,1.1346908086858447e-09,True,sign_lost_not_trajectory_reconstructable
sample_000039,-0.1908490252662584,0.22367876224046318,0.12331310097407218,0.21292971109332065,0.15178571428571427,0.19196428571428573,0.28125,0.12946428571428573,0.3705357142857143,0.5044642857142857,2.2117020935938033e-09,1.8277614331040958e-09,True,sign_lost_not_trajectory_reconstructable
sample_000040,0.17981968982913918,0.36208069835174483,-0.14668981916025442,0.2469739830439046,0.10714285714285714,0.11607142857142858,0.17857142857142858,0.017857142857142856,0.14732142857142858,0.39732142857142855,3.203684978861637e-09,2.1798063597297184e-09,True,sign_lost_not_trajectory_reconstructable
sample_000041,-0.18052556729710936,0.22594542935325196,0.15774982792065462,0.2129253273379375,0.13839285714285715,0.14732142857142858,0.23660714285714285,0.13839285714285715,0.29017857142857145,0.39285714285714285,2.326371572569116e-09,1.9856072350919547e-09,True,sign_lost_not_trajectory_reconstructable
sample_000042,-0.3186595594494129,0.29738344814568424,-0.07573707319108258,0.2245893593148303,0.044642857142857144,0.05357142857142857,0.09375,0.0625,0.17410714285714285,0.33482142857142855,4.7309143973825014e-09,1.7627846746884786e-09,True,sign_lost_not_trajectory_reconstructable
sample_000043,0.18241093487242607,0.24260888815007528,-0.08007946936987823,0.2748303464636106,0.25,0.26339285714285715,0.3482142857142857,0.008928571428571428,0.25,0.33482142857142855,2.1979601202931642e-09,1.792431329051619e-09,True,sign_lost_not_trajectory_reconstructable
sample_000044,-0.025453111051131738,0.16001130364834554,-0.1429966314164753,0.2906050100501345,0.5669642857142857,0.6026785714285714,0.6830357142857143,0.008928571428571428,0.5491071428571429,0.6026785714285714,6.655670985353213e-10,2.1468034970044464e-09,True,sign_lost_not_trajectory_reconstructable
sample_000045,-0.1421305042871648,0.20286003029350322,0.027931606282459078,0.14049341200301868,0.5044642857142857,0.5223214285714286,0.5446428571428571,0.09821428571428571,0.6071428571428571,0.7232142857142857,1.647815285279822e-09,9.048802533989334e-10,True,sign_lost_not_trajectory_reconstructable
sample_000046,0.2701395665081934,0.28159731213974554,0.09183431366414159,0.11179278578250243,0.24107142857142858,0.24107142857142858,0.29464285714285715,0.0,0.23214285714285715,0.33482142857142855,3.14418106773163e-09,1.266064400809725e-09,True,sign_lost_not_trajectory_reconstructable
sample_000047,-0.04872371125459054,0.17862280700075375,-0.11930573806395248,0.29253653837825283,0.23660714285714285,0.2857142857142857,0.5178571428571429,0.09375,0.34375,0.41517857142857145,1.147505596421148e-09,2.2895862186904435e-09,True,sign_lost_not_trajectory_reconstructable
