sample_id,abs_diag_mae_dx,abs_diag_max_error_dx,abs_diag_mae_dy,abs_diag_max_error_dy,positive_branch_mae_dx,positive_branch_max_error_dx,positive_branch_mae_dy,positive_branch_max_error_dy,oracle_signed_mae_dx,oracle_signed_max_error_dx,oracle_signed_mae_dy,oracle_signed_max_error_dy,fraction_negative_dx,fraction_negative_dy,fraction_positive_dx,fraction_positive_dy,sign_lost,strict_signed_diagonal_invertible,status
sample_002694,1.4580316644383459e-09,9.356150187933565e-09,1.6935590590858834e-09,1.0305702402568784e-08,0.21209282309195013,1.0588577288587906,0.024286654515475455,0.747262371554662,1.4580316644383459e-09,9.356150187933565e-09,1.6935590590858834e-09,1.0305702402568784e-08,0.5714285714285714,0.11607142857142858,0.42857142857142855,0.8839285714285714,True,False,not_strictly_invertible_from_diagonal
sample_002695,1.6552594300725606e-09,1.657580883662746e-08,1.0372586524557205e-09,1.2660450576795768e-08,0.3196249509531679,1.766894339147941,0.03372103420727042,0.28179296338288085,1.6552594300725606e-09,1.657580883662746e-08,1.0372586524557205e-09,1.2660450576795768e-08,0.5982142857142857,0.29017857142857145,0.4017857142857143,0.7098214285714286,True,False,not_strictly_invertible_from_diagonal
sample_002696,6.975743504407278e-10,9.06622060758977e-09,7.434874780854481e-10,8.944053775383765e-09,0.10496294148683713,0.794361292911955,0.061187243448519446,0.8237698985478377,6.975743504407278e-10,9.06622060758977e-09,7.434874780854481e-10,8.944053775383765e-09,0.375,0.21428571428571427,0.625,0.7857142857142857,True,False,not_strictly_invertible_from_diagonal
sample_002697,6.980942563911008e-10,9.632382225177594e-09,4.2134606415299414e-10,5.8539945668734106e-09,0.1556654451712506,1.3413748022182164,0.015256398582896232,0.39509417577083583,6.980942563911008e-10,9.632382225177594e-09,4.2134606415299414e-10,5.8539945668734106e-09,0.42410714285714285,0.20089285714285715,0.5758928571428571,0.7991071428571429,True,False,not_strictly_invertible_from_diagonal
sample_002698,1.9906237085160174e-09,1.3390602071616797e-08,1.1272372982028584e-09,1.3396707632118421e-08,0.28301404494406474,1.2117424910023389,0.14888383090396592,1.2495254675615728,1.9906237085160174e-09,1.3390602071616797e-08,1.1272372982028584e-09,1.3396707632118421e-08,0.47767857142857145,0.53125,0.5223214285714286,0.46875,True,False,not_strictly_invertible_from_diagonal
sample_002699,1.3316023648371984e-09,1.6308555617072784e-08,9.86117973379777e-10,1.4661681646543911e-08,0.2126157433069133,1.6430751235036087,0.006724131673437405,0.1264418149358218,1.3316023648371984e-09,1.6308555617072784e-08,9.86117973379777e-10,1.4661681646543911e-08,0.48660714285714285,0.13392857142857142,0.5133928571428571,0.8660714285714286,True,False,not_strictly_invertible_from_diagonal
sample_002700,3.2306998766504416e-09,1.7360061943527683e-08,1.0432327867259118e-09,8.5720147091628e-09,0.5707732995263013,1.584944031684171,0.057091234034829706,0.327931085259561,3.2306998766504416e-09,1.7360061943527683e-08,1.0432327867259118e-09,8.5720147091628e-09,0.7633928571428571,0.5089285714285714,0.23660714285714285,0.49107142857142855,True,False,not_strictly_invertible_from_diagonal
sample_002701,2.571765169172301e-09,1.959334605672325e-08,1.5425247910425534e-09,8.341674018197409e-09,0.07438703062447945,1.0268856396051325,0.00038066190925209665,0.07446342531181388,2.571765169172301e-09,1.959334605672325e-08,1.5425247910425534e-09,8.341674018197409e-09,0.30357142857142855,0.008928571428571428,0.6964285714285714,0.9910714285714286,True,False,not_strictly_invertible_from_diagonal
sample_002702,8.198232349083888e-10,1.0156078866785379e-08,5.720972377637236e-10,1.0835490282801175e-08,0.1026208297251653,1.0629268900037807,0.06882261237893882,1.3149364762429132,8.198232349083888e-10,1.0156078866785379e-08,5.720972377637236e-10,1.0835490282801175e-08,0.39732142857142855,0.27232142857142855,0.6026785714285714,0.7276785714285714,True,False,not_strictly_invertible_from_diagonal
sample_002703,6.120327723604066e-10,8.444612287217268e-09,8.624673267658311e-10,1.041808317392423e-08,0.056989225126051035,0.8036622536001501,0.09208070024098888,1.3943641303323968,6.120327723604066e-10,8.444612287217268e-09,8.624673267658311e-10,1.041808317392423e-08,0.26785714285714285,0.26785714285714285,0.7321428571428571,0.7321428571428571,True,False,not_strictly_invertible_from_diagonal
