sample_id,delta_consistency_mse,delta_consistency_max_error,delta_consistency_error,absolute_shape,delta_shape,status
sample_000127,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000128,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000129,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000130,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000131,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000132,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000133,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000134,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000135,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000136,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000137,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000138,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000139,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000140,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000141,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000142,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000143,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000144,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000145,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000146,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000147,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000148,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000149,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000150,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000151,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000152,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000153,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
